scene_id,split,path,dataset_tag,n_fragments,n_exterior_points,n_edges,positive_edge_fraction,ground_truth_P10_mm,ground_truth_P50_mm,ground_truth_P80_mm,cone_base_radius_m,cone_height_m,scan_filter_version,placement_backend,status
17,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_017_train.npz,dem_noboundary_relax150_100scene_hpr,143,6711,46542,0.9102316187529543,128.35730008173607,214.60223284201905,289.5358635876809,0.8829209815936696,1.0800660066467307,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
18,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_018_train.npz,dem_noboundary_relax150_100scene_hpr,139,7149,49806,0.9298678874031241,125.02670011580382,208.05015836947123,280.38775034838824,0.919635203587617,1.0961987753689961,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
19,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_019_train.npz,dem_noboundary_relax150_100scene_hpr,143,6918,48204,0.9267488175255165,121.76191433718559,188.66105799990393,248.07576355276134,0.9122217932323423,1.003580614600917,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
20,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_020_train.npz,dem_noboundary_relax150_100scene_hpr,147,6703,46681,0.9159186821190635,125.02501108374477,196.16205235056938,252.26661547379015,0.9095145193681494,1.05126388340409,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
21,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_021_train.npz,dem_noboundary_relax150_100scene_hpr,142,6658,46258,0.9140905356911238,126.7674953391359,200.01892725686216,281.45549021724395,0.8985782282015078,1.0847692212272235,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
22,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_022_train.npz,dem_noboundary_relax150_100scene_hpr,146,6390,44575,0.9107347167694896,124.3895650527731,185.09403646378345,250.83946021310626,0.8831915274242539,1.059396400778276,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
23,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_023_train.npz,dem_noboundary_relax150_100scene_hpr,142,6939,48263,0.9269005242110934,123.41481712261907,196.642638804644,256.81596593468004,0.8939670212510615,1.0868462702688495,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
24,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_024_train.npz,dem_noboundary_relax150_100scene_hpr,144,6207,43344,0.9142672572905131,126.87920087111507,200.9962743409393,276.7312473236399,0.9095318618042618,1.0249189794702445,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
25,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_025_train.npz,dem_noboundary_relax150_100scene_hpr,142,6955,48239,0.9177843653475404,123.65008954273188,197.02022611946856,264.8498707481741,0.8779139820216404,1.0886512970067357,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
26,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_026_train.npz,dem_noboundary_relax150_100scene_hpr,143,6726,46967,0.9133647028764877,123.20876536210001,186.1995778115127,246.18919811041312,0.8646911458790705,1.130844070011163,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
27,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_027_train.npz,dem_noboundary_relax150_100scene_hpr,141,7304,51047,0.9320038395988011,118.4928470417609,189.44145323132852,259.18442067762487,0.9227291661224821,1.1152356059574682,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
28,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_028_train.npz,dem_noboundary_relax150_100scene_hpr,142,6380,44610,0.9132033176417843,130.24862689131348,200.83107884260738,265.0460445165999,0.9212664247587453,1.1181951566333708,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
29,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_029_train.npz,dem_noboundary_relax150_100scene_hpr,147,7380,51284,0.9251033460728493,124.34075100569555,187.34834900502605,285.2642824185125,0.8780661501921416,1.1338843575429003,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
30,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_030_train.npz,dem_noboundary_relax150_100scene_hpr,141,7325,51012,0.9348584646749785,122.59839159005145,190.2449979810501,245.09711092026262,0.9063362585509829,1.0349530521552202,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
31,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_031_train.npz,dem_noboundary_relax150_100scene_hpr,141,6514,45452,0.9169233477074716,123.91910498617501,206.68596865442052,284.2455010582258,0.9175437658189018,1.048382139750755,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
32,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_032_train.npz,dem_noboundary_relax150_100scene_hpr,143,6924,48145,0.9200540035310001,123.65401037880248,200.77478448226887,266.41286110409686,0.9036613188565026,1.087758371635151,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
33,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_033_train.npz,dem_noboundary_relax150_100scene_hpr,141,7239,50260,0.9318941504178273,125.24485926033914,183.83030481924993,281.3213980777889,0.8983946679497675,1.0991198240643894,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
34,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_034_train.npz,dem_noboundary_relax150_100scene_hpr,140,6683,46474,0.9255282523561561,123.91252199541232,195.0490333239151,269.88032064032876,0.92097020076494,1.0792045895977997,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
35,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_035_train.npz,dem_noboundary_relax150_100scene_hpr,146,7766,53968,0.9284946635042989,121.85546680564626,198.01767687735108,283.2030987001697,0.9021319419389711,1.0690046155768242,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
36,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_036_train.npz,dem_noboundary_relax150_100scene_hpr,145,7247,50542,0.9194729136163983,125.77711736051165,192.60788060465885,302.63225187663477,0.9025897474352844,1.0495198558082026,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
37,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_037_train.npz,dem_noboundary_relax150_100scene_hpr,145,6373,44344,0.9124120512357929,128.433728976076,196.11250568681962,258.50648404818156,0.9035594583921125,1.1131727122867983,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
38,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_038_train.npz,dem_noboundary_relax150_100scene_hpr,138,6701,46621,0.9239398554299565,132.6158879768947,213.91025706501426,284.9914185555851,0.8977264361743469,1.1421662867152742,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
39,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_039_train.npz,dem_noboundary_relax150_100scene_hpr,143,6420,44810,0.9133898683329614,124.34400967364974,179.45067205365152,280.96504498523893,0.8946943962627062,1.0719088987828833,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
40,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_040_train.npz,dem_noboundary_relax150_100scene_hpr,137,7663,53179,0.930179206077587,123.69557585842385,196.02062111188422,257.350954328596,0.8741618365089004,1.0975584879199463,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
41,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_041_train.npz,dem_noboundary_relax150_100scene_hpr,145,7464,51796,0.9239516564985714,128.50575559644238,214.39335355664838,284.24725623557,0.9175292479413492,1.1295956153859255,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
42,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_042_train.npz,dem_noboundary_relax150_100scene_hpr,141,6699,46395,0.9177282034702016,126.67663870973183,214.3799999150673,282.0705992616702,0.9224672246607712,1.0887038236945634,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
43,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_043_train.npz,dem_noboundary_relax150_100scene_hpr,146,8178,56863,0.9380264847088616,120.23646759075854,174.16241907753178,268.98075529723354,0.8916299794726897,1.0701932794504645,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
44,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_044_train.npz,dem_noboundary_relax150_100scene_hpr,139,6965,48475,0.9243115007735946,126.40696639581718,196.66259427443327,267.16133528054326,0.8975646920610136,1.0934063717654185,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
45,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_045_train.npz,dem_noboundary_relax150_100scene_hpr,140,6407,44658,0.9205517488467911,126.93339877898987,192.30230969453822,263.79450681494353,0.8925644468917453,1.1922207727657244,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
46,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_046_train.npz,dem_noboundary_relax150_100scene_hpr,146,7499,52040,0.9292659492697924,121.22882942294655,196.1926935457811,261.78077916166467,0.9422104558389099,1.0911168633278168,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
47,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_047_train.npz,dem_noboundary_relax150_100scene_hpr,140,6820,47387,0.9150610927047502,126.46689935274891,201.90246547845095,282.98084055621115,0.8813155755964158,1.0824474974326195,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
48,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_048_train.npz,dem_noboundary_relax150_100scene_hpr,138,6737,46942,0.9258446593668783,127.27797187020296,208.05472017264995,285.71305486044514,0.9129913123543332,1.0557173008910667,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
49,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_049_train.npz,dem_noboundary_relax150_100scene_hpr,145,7382,51344,0.9204191336865067,124.55993750225667,196.7617796325487,275.74676286164777,0.8821004478740032,1.1372910672471312,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
50,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_050_train.npz,dem_noboundary_relax150_100scene_hpr,141,6378,44479,0.9167247465095888,121.54382110175176,189.46886863771778,267.3372367607316,0.9024562855080095,1.0640944028922448,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
51,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_051_train.npz,dem_noboundary_relax150_100scene_hpr,142,7696,53654,0.931841055652887,114.47194006632452,173.97557205836347,259.27325120233667,0.8650057386897567,0.9952501757226819,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
52,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_052_train.npz,dem_noboundary_relax150_100scene_hpr,136,7130,49753,0.9348581995055575,119.88115445674973,184.95996858336855,239.92493779803738,0.9100166717141382,1.0319613642831795,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
53,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_053_train.npz,dem_noboundary_relax150_100scene_hpr,140,7476,51823,0.9358971885070335,120.40840508544457,181.05840025197753,261.8630416003905,0.9119896351162733,1.0209066624327117,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
54,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_054_train.npz,dem_noboundary_relax150_100scene_hpr,136,6657,46417,0.9255014326647565,120.36687729648801,188.769615809978,241.14928551625624,0.8908887885260383,1.0422436323361475,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
55,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_055_train.npz,dem_noboundary_relax150_100scene_hpr,142,6752,47168,0.9299101085481682,122.59351428638878,183.3320499337015,249.62903064011655,0.8805897270510047,1.095355897373657,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
56,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_056_train.npz,dem_noboundary_relax150_100scene_hpr,142,6865,47853,0.9257099868346812,120.46381143779116,183.44166541927146,250.91771997398885,0.8999016950952826,1.0548905876807744,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
57,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_057_train.npz,dem_noboundary_relax150_100scene_hpr,140,6741,47058,0.9217986314760508,122.94973232600694,185.3337806203565,254.91304374601427,0.896395738774391,1.0746272504571497,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
58,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_058_train.npz,dem_noboundary_relax150_100scene_hpr,139,6705,46696,0.9321997601507623,121.4730640841213,174.3628498349807,267.6790276504169,0.870151888178756,1.0403935001658282,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
59,train,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_059_train.npz,dem_noboundary_relax150_100scene_hpr,142,6819,47377,0.9214175654853621,127.18637981500271,196.288329723303,264.4950818009677,0.9306840005897377,1.124262548090307,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
60,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_060_val.npz,dem_noboundary_relax150_100scene_hpr,143,6670,46390,0.9220306100452684,124.18170708624672,192.6095870242236,252.24792504487806,0.9019929437627376,1.063188213479759,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
61,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_061_val.npz,dem_noboundary_relax150_100scene_hpr,140,6806,47099,0.9203804751693242,126.59972736006068,211.32688113775282,281.225982234479,0.9079916551776575,1.1134502937916109,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
62,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_062_val.npz,dem_noboundary_relax150_100scene_hpr,141,7025,48750,0.9272615384615385,118.85737838920033,186.2044270178283,243.33345825985043,0.8869088734628698,1.0705930789622007,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
63,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_063_val.npz,dem_noboundary_relax150_100scene_hpr,142,7547,52598,0.9308909083995589,121.51354166802814,181.22172630302293,239.1631828884201,0.9006983790508528,1.0379414019880644,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
64,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_064_val.npz,dem_noboundary_relax150_100scene_hpr,141,6573,45897,0.92772948122971,121.49128851632902,179.62660219706618,251.88583021968705,0.9052969246867211,1.0265004898765007,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
65,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_065_val.npz,dem_noboundary_relax150_100scene_hpr,142,7106,49376,0.9226547310434219,127.52964714663035,227.24666932899086,284.7097699061203,0.9314500208321683,1.168148746255302,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
66,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_066_val.npz,dem_noboundary_relax150_100scene_hpr,144,6550,45323,0.9079496061602277,128.0784736505165,214.8555907583957,295.1710178209239,0.8718578788498412,1.1359654199987141,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
67,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_067_val.npz,dem_noboundary_relax150_100scene_hpr,141,7830,54341,0.9319482527005392,122.26264744338755,178.8104269075626,319.06620559023565,0.8920575143037278,1.103277264785008,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
68,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_068_val.npz,dem_noboundary_relax150_100scene_hpr,144,7284,50620,0.9242789411299881,130.14087865395723,209.83287765119823,283.47192523118247,0.8807961616489537,1.0793550869893596,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
69,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_069_val.npz,dem_noboundary_relax150_100scene_hpr,145,7157,49905,0.9111311491834485,128.62486168061918,215.59685880181812,299.33440446595165,0.8685931220142942,1.064361697284841,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
70,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_070_val.npz,dem_noboundary_relax150_100scene_hpr,136,6706,46675,0.9294483128012855,121.62807118217793,181.1764209593129,254.44506802961232,0.8963376184795819,1.0281218600745368,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
71,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_071_val.npz,dem_noboundary_relax150_100scene_hpr,138,6899,48033,0.9326921075094206,123.3434951805181,189.703775373628,260.961723570075,0.9118162659636614,1.1035884091986095,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
72,val,C:\Users\creep\Documents\synthetic fragments\rockpile-edgeconv-arxiv\data\processed\scene_dem_noboundary_relax150_100scene_hpr_072_val.npz,dem_noboundary_relax150_100scene_hpr,146,6543,45570,0.9139565503620803,121.51427059809706,184.53004917748973,239.72468088843536,0.8851620693842198,1.155215500975869,hpr_multiview_exterior,realistic-dem,hpr_refiltered_existing_pose
